band,link,genres,start_year,end_year,hits
the answering machine,http://dbpedia.org/resource/The_Answering_Machine,Indie rock|Indietronica,2005,2011,1
the blanche hudson weekend,http://dbpedia.org/resource/The_Blanche_Hudson_Weekend,Alternative rock|Indie rock|Indietronica,2009,2009,0
"the bridewell taxis, later the bridewells.",http://dbpedia.org/resource/The_Bridewell_Taxis,Indie rock|Indietronica,1987,1993,0
the broken family band,http://dbpedia.org/resource/The_Broken_Family_Band,Country rock|Indie rock|Indietronica|New wave,2002,2009,0
the cassandra complex,http://dbpedia.org/resource/The_Cassandra_Complex_(band),Post-punk,1980,0,0
the crazy world of arthur brown,http://dbpedia.org/resource/The_Crazy_World_of_Arthur_Brown,Psychedelic rock,1967,0,3
the ethical debating society,http://dbpedia.org/resource/The_Ethical_Debating_Society,Punk rock,2009,0,0
the flaming mussolinis,http://dbpedia.org/resource/The_Flaming_Mussolinis,Rock music,1984,1988,0
the jesus and mary chain,http://dbpedia.org/resource/The_Jesus_and_Mary_Chain,Alternative rock|Post-punk,1983,1999,82
the kazoo funk orchestra,http://dbpedia.org/resource/The_Kazoo_Funk_Orchestra,Experimental rock,2005,0,0
the kings of frog island,http://dbpedia.org/resource/The_Kings_of_Frog_Island,Rock music,2003,2003,0
the legendary pink dots,http://dbpedia.org/resource/The_Legendary_Pink_Dots,Industrial rock|Noise rock|Post-punk,1980,0,2
the manhattan love suicides,http://dbpedia.org/resource/The_Manhattan_Love_Suicides,Alternative rock|Indie rock|Indietronica,2006,2009,0
the martini henry rifles,http://dbpedia.org/resource/The_Martini_Henry_Rifles,Alternative rock|Punk rock,2000,2006,2
the men they couldn't hang,http://dbpedia.org/resource/The_Men_They_Couldn't_Hang,Roots rock,1984,1991,0
the noel redding band,http://dbpedia.org/resource/The_Noel_Redding_Band,Folk rock,1974,1974,1
the pigeon detectives,http://dbpedia.org/resource/The_Pigeon_Detectives,Indie rock|Indietronica,2004,0,0
the spencer davis group,http://dbpedia.org/resource/The_Spencer_Davis_Group,Beat|Rock music,1963,1969,20
the strange death of liberal england,http://dbpedia.org/resource/The_Strange_Death_of_Liberal_England_(band),Indie rock|Indietronica|Post-rock,2005,2011,0
the trash can sinatras,http://dbpedia.org/resource/The_Trash_Can_Sinatras,Alternative rock,1986,0,0
the victorian english gentlemens club,http://dbpedia.org/resource/The_Victorian_English_Gentlemens_Club,Indie rock|Indietronica,2004,0,0
the wimmins' institute,http://dbpedia.org/resource/The_Wimmins'_Institute,Indie rock|Indietronica,2015,2015,0
the wrongstar society,http://dbpedia.org/resource/The_Wrongstar_Society,Punk rock,2006,0,0
twenty flight rockers,http://dbpedia.org/resource/Twenty_Flight_Rockers,Punk rock|Rock music,1985,1989,0
ultimate beatles (uk beatles tribute band),http://dbpedia.org/resource/Ultimate_Beatles,Rock music,2001,0,0
uncle john & whitelock,http://dbpedia.org/resource/Uncle_John_&_Whitelock,Garage rock|Surf music,2001,2006,0
until the ribbon breaks,http://dbpedia.org/resource/Until_the_Ribbon_Breaks,Alternative rock|Rock music,2012,0,0
voice of the seven woods,http://dbpedia.org/resource/Voice_of_the_Seven_Woods,Psychedelic rock,2003,2003,0
we could be astronauts,http://dbpedia.org/resource/We_Could_Be_Astronauts,Rock music,2009,0,0
we were promised jetpacks,http://dbpedia.org/resource/We_Were_Promised_Jetpacks,Indie rock|Indietronica,2003,0,0
we've got a fuzzbox and we're gonna use it!!,http://dbpedia.org/resource/We've_Got_a_Fuzzbox_and_We're_Gonna_Use_It,Alternative rock,1985,0,0
wille and the bandits,http://dbpedia.org/resource/Wille_And_The_Bandits,Rock music,2010,0,0
world domination enterprises,http://dbpedia.org/resource/World_Domination_Enterprises,Noise rock|Post-punk,1984,1989,0
*shels,http://dbpedia.org/resource/*shels,Post-rock|Progressive rock,2003,0,0
1919,http://dbpedia.org/resource/1919_(band),Post-punk,1980,1984,0
absent kid,http://dbpedia.org/resource/Absent_Kid,Alternative rock|Indie rock|Indietronica,2002,0,0
acoda,http://dbpedia.org/resource/ACODA,Alternative rock|Heavy metal|Rock music,2008,0,0
acoustic ladyland,http://dbpedia.org/resource/Acoustic_Ladyland,Jazz fusion|Jazz rock,2001,2010,0
adequate seven,http://dbpedia.org/resource/Adequate_Seven,Funk rock|Rap rock|Rapcore,2000,2006,0
after the fire (atf),http://dbpedia.org/resource/After_the_Fire,New wave|Progressive rock|Rock music,1974,1982,0
age of chance,http://dbpedia.org/resource/Age_of_Chance,Alternative rock,1985,1985,0
alt-j,http://dbpedia.org/resource/Alt-J,Art rock|Indie rock|Indietronica,2007,0,0
alternative tv,http://dbpedia.org/resource/Alternative_TV,Post-punk|Punk rock,1977,0,1
alvin purple,http://dbpedia.org/resource/Alvin_Purple_(band),Alternative rock|Indie rock|Indietronica,2008,0,0
amazulu,http://dbpedia.org/resource/Amazulu_(band),Art rock,1982,1988,0
amber run,http://dbpedia.org/resource/Amber_Run,Alternative rock,2012,0,0
amen corner,http://dbpedia.org/resource/Amen_Corner_(band),Pop rock|Psychedelic rock,1966,1966,2
america,http://dbpedia.org/resource/America_(band),Folk rock|Pop rock|Rock music|Soft rock,1970,0,5
anathema,http://dbpedia.org/resource/Anathema_(band),Alternative rock|Progressive rock,1990,0,0
anavae,http://dbpedia.org/resource/Anavae,Alternative rock|Rock music,2011,0,0
angel witch,http://dbpedia.org/resource/Angel_Witch,Heavy metal,1977,1982,2
angelica,http://dbpedia.org/resource/Angelica_(band),Punk rock,1994,1994,0
animals that swim,http://dbpedia.org/resource/Animals_That_Swim,Indie rock|Indietronica,1989,2001,0
any trouble,http://dbpedia.org/resource/Any_Trouble,New wave|Pop rock,1975,0,0
arab strap,http://dbpedia.org/resource/Arab_Strap_(band),Alternative rock|Indie rock|Indietronica,1995,2006,0
arctic monkeys,http://dbpedia.org/resource/Arctic_Monkeys,Garage rock|Indie rock|Indietronica|Psychedelic rock,2002,0,12
ark,http://dbpedia.org/resource/Ark_(British_band),Hard rock|Progressive rock,1986,1995,3
arkarna,http://dbpedia.org/resource/Arkarna,Alternative rock,1994,0,0
art brut,http://dbpedia.org/resource/Art_Brut,Indie rock|Indietronica,2003,0,9
attic lights,http://dbpedia.org/resource/Attic_Lights,Indie rock|Indietronica|Power pop,2005,2005,1
bananarama,http://dbpedia.org/resource/Bananarama,New wave,1979,0,10
everybody was in the french resistance...now!,http://dbpedia.org/resource/Everybody_Was_in_the_French_Resistance...Now!,Indie rock|Indietronica,2010,0,0
the balham alligators,http://dbpedia.org/resource/The_Balham_Alligators,Rock music,1983,1983,0
a,http://dbpedia.org/resource/A_(band),Alternative rock|Hard rock,1993,2005,0
a certain ratio,http://dbpedia.org/resource/A_Certain_Ratio,Dance-rock|New wave|Post-punk,1977,0,0
anti-nowhere league,http://dbpedia.org/resource/Anti-Nowhere_League,Punk rock,1980,1980,0
"apologies, i have none","http://dbpedia.org/resource/Apologies,_I_Have_None",Punk rock,2004,2004,0
au pairs,http://dbpedia.org/resource/Au_Pairs_(band),Post-punk,1978,1983,1
auto da fé,http://dbpedia.org/resource/Auto_Da_Fé_(band),New wave,1980,1986,0
autopsia,http://dbpedia.org/resource/Autopsia,Alternative rock|New wave|Post-punk,1978,1978,0
autumn owls,http://dbpedia.org/resource/Autumn_owls,Experimental rock|Indie rock|Indietronica|Post-rock,2007,2007,0
average white band,http://dbpedia.org/resource/Average_White_Band,Rock music,1972,1983,4
axis of,http://dbpedia.org/resource/Axis_Of,Alternative rock|Punk rock,2007,2007,0
aztec camera,http://dbpedia.org/resource/Aztec_Camera,Alternative rock|New wave|Post-punk,1980,1995,8
b-movie,http://dbpedia.org/resource/B-Movie_(band),New wave|Post-punk,1979,1985,0
b.l.o.w.,http://dbpedia.org/resource/B.l.o.w.,Rock music,1994,1996,0
babe ruth,http://dbpedia.org/resource/Babe_Ruth_(band),Blues rock|Progressive rock,1970,1970,0
