band,link,genres,start_year,end_year,hits
superstar,http://dbpedia.org/resource/Superstar_(band),Alternative rock,1991,2000,0
swanee river,http://dbpedia.org/resource/Swanee_River_(band),Blues rock|Hard rock|Southern rock,2005,0,0
sweet billy pilgrim,http://dbpedia.org/resource/Sweet_Billy_Pilgrim,Alternative rock|Art rock|Progressive rock,2003,0,0
sweet jesus,http://dbpedia.org/resource/Sweet_Jesus,Glam rock,1990,1990,1
sweet murder,http://dbpedia.org/resource/Sweet_Murder,Hard rock|Heavy metal,2013,0,0
sweet savage,http://dbpedia.org/resource/Sweet_Savage,Hard rock|Heavy metal,1979,0,1
swell maps,http://dbpedia.org/resource/Swell_Maps,Experimental rock|Post-punk|Punk rock,1972,1972,0
swervedriver,http://dbpedia.org/resource/Swervedriver,Alternative rock|Indie rock|Indietronica,1989,1998,2
swimmer one,http://dbpedia.org/resource/Swimmer_One,Alternative rock,2002,0,0
swimming,http://dbpedia.org/resource/Swimming_(band),Art rock,2004,0,2
switches,http://dbpedia.org/resource/Switches_(band),Indie rock|Indietronica,2005,2008,1
syd arthur,http://dbpedia.org/resource/Syd_Arthur,Alternative rock|Progressive rock|Psychedelic rock,2003,0,1
symposium,http://dbpedia.org/resource/Symposium_(band),Punk rock,1994,2000,1
t'pau,http://dbpedia.org/resource/T'Pau_(band),Pop rock,1986,0,1
take that,http://dbpedia.org/resource/Take_That,Glam rock|Pop rock,1990,0,2
talk talk,http://dbpedia.org/resource/Talk_Talk,Art rock|New wave|Post-rock,1981,1992,5
tall ships,http://dbpedia.org/resource/Tall_Ships_(band),Experimental rock|Indie rock|Indietronica,2009,2009,0
talons,http://dbpedia.org/resource/Talons_(band),Alternative rock,2008,2008,0
tangerine records,http://dbpedia.org/resource/Tangerine_Records_(1992),Power pop,1992,0,0
tango in the attic,http://dbpedia.org/resource/Tango_in_the_Attic,Garage rock,2008,0,0
tank,http://dbpedia.org/resource/Tank_(band),Heavy metal,1980,1989,0
taxxi,http://dbpedia.org/resource/Taxxi,New wave|Pop rock|Rock music,1979,1987,1
tears for fears,http://dbpedia.org/resource/Tears_for_Fears,New wave|Pop rock,1981,0,0
teenage fanclub,http://dbpedia.org/resource/Teenage_Fanclub,Alternative rock|Power pop,1989,1989,15
teenage filmstars,http://dbpedia.org/resource/Teenage_Filmstars,Post-punk,1979,1979,0
teleman,http://dbpedia.org/resource/Teleman,Alternative rock,2012,0,0
tellison,http://dbpedia.org/resource/Tellison,Indie rock|Indietronica,2003,0,0
temples,http://dbpedia.org/resource/Temples_(band),Psychedelic rock,2012,0,1
ten,http://dbpedia.org/resource/Ten_(band),Hard rock,1995,2007,3
ten benson,http://dbpedia.org/resource/Ten_Benson,Alternative rock|Heavy metal,1997,2004,0
ten years after,http://dbpedia.org/resource/Ten_Years_After,Blues rock|Hard rock,1966,0,0
terminal cheesecake,http://dbpedia.org/resource/Terminal_Cheesecake,Alternative rock,1988,1995,0
terris,http://dbpedia.org/resource/Terris_(band),Alternative rock,1998,1998,0
terrorvision,http://dbpedia.org/resource/Terrorvision,Rock music,1987,1987,0
tesseract,http://dbpedia.org/resource/Tesseract_(band),Experimental rock|Progressive rock,2003,0,4
test icicles,http://dbpedia.org/resource/Test_Icicles,Indie rock|Indietronica,2004,2006,0
tex la homa,http://dbpedia.org/resource/Tex_La_Homa,Post-rock,2001,0,0
th' faith healers,http://dbpedia.org/resource/Th'_Faith_Healers,Experimental rock|Noise rock,1990,1990,0
that petrol emotion,http://dbpedia.org/resource/That_Petrol_Emotion,Alternative rock|Indie rock|Indietronica|Rock music,1984,1994,0
the 101ers,http://dbpedia.org/resource/The_101ers,Proto-punk,1974,1974,0
the 1975,http://dbpedia.org/resource/The_1975,Alternative rock|Pop rock,2002,0,0
the 4 of us,http://dbpedia.org/resource/The_4_of_Us,Rock music,1988,1988,0
the 99 call,http://dbpedia.org/resource/The_99_Call,Experimental rock|Indie rock|Indietronica,2009,0,0
the action,http://dbpedia.org/resource/The_Action,Folk rock|Psychedelic rock,1963,1969,5
the adicts,http://dbpedia.org/resource/The_Adicts,New wave|Punk rock,1975,0,0
the adventures,http://dbpedia.org/resource/The_Adventures,Alternative rock|New wave|Pop rock,1984,1993,0
the ailerons,http://dbpedia.org/resource/The_Ailerons,Indie rock|Indietronica,2006,0,0
the alan bown set,http://dbpedia.org/resource/The_Alan_Bown_Set,Progressive rock,1965,1972,1
the alarm,http://dbpedia.org/resource/The_Alarm,Alternative rock|New wave,1981,0,12
the alfonz,http://dbpedia.org/resource/The_Alfonz,Rock music,2006,2010,0
the almighty,http://dbpedia.org/resource/The_Almighty_(band),Hard rock|Heavy metal,1988,0,0
the amateurs,http://dbpedia.org/resource/The_Amateurs_(band),Indie rock|Indietronica,2007,0,0
the anon,http://dbpedia.org/resource/The_Anon,Rock music,1965,1966,1
the answer,http://dbpedia.org/resource/The_Answer_(band),Blues rock|Hard rock,2000,0,2
the apostles,http://dbpedia.org/resource/The_Apostles,Punk rock,1979,1990,3
the applejacks,http://dbpedia.org/resource/The_Applejacks_(British_band),Beat,1963,1967,0
the armada,http://dbpedia.org/resource/The_Armada_(band),Hard rock,2008,2008,0
the arrows,http://dbpedia.org/resource/Arrows_(British_band),Rock music,1974,1977,4
the art attacks,http://dbpedia.org/resource/The_Art_Attacks,Punk rock,1977,1979,0
the attack,http://dbpedia.org/resource/The_Attack_(band),Hard rock|Psychedelic rock,1966,1968,0
the automatic,http://dbpedia.org/resource/The_Automatic,Alternative rock|Indie rock|Indietronica,1998,2010,6
the babys,http://dbpedia.org/resource/The_Babys,Hard rock|Pop rock|Power pop,1974,1981,5
the banned,http://dbpedia.org/resource/The_Banned,Punk rock,1977,1977,0
the beat,http://dbpedia.org/resource/The_Beat_(British_band),New wave|Post-punk,1978,1983,0
the beautiful south,http://dbpedia.org/resource/The_Beautiful_South,Pop rock,1988,2007,0
the beep seals,http://dbpedia.org/resource/The_Beep_Seals,Alternative rock|Indie rock|Indietronica,2006,2009,0
the bees,http://dbpedia.org/resource/The_Bees_(band),Indie rock|Indietronica|Psychedelic rock,2001,0,3
the beloved,http://dbpedia.org/resource/The_Beloved_(band),Alternative rock|New wave|Post-punk,1983,0,3
the beltanes,http://dbpedia.org/resource/The_Beltanes,Rock music,1987,1987,0
the beta band,http://dbpedia.org/resource/The_Beta_Band,Indie rock|Indietronica,1996,2004,8
the bevis frond,http://dbpedia.org/resource/The_Bevis_Frond,Alternative rock|Indie rock|Indietronica,1986,0,6
the big pink,http://dbpedia.org/resource/The_Big_Pink,Indie rock|Indietronica,2007,0,4
the birds,http://dbpedia.org/resource/The_Birds_(band),Blues rock,1964,1967,0
the birthday suit,http://dbpedia.org/resource/The_Birthday_Suit,Indie rock|Indietronica,2011,0,0
the bishops,http://dbpedia.org/resource/The_Bishops,Alternative rock|Indie rock|Indietronica,2002,0,1
the bitter springs,http://dbpedia.org/resource/The_Bitter_Springs,Alternative rock,1985,1985,0
the blackout,http://dbpedia.org/resource/The_Blackout_(band),Hard rock,2003,2015,6
the bleach boys,http://dbpedia.org/resource/The_Bleach_Boys,Punk rock,1976,1976,0
the blimp,http://dbpedia.org/resource/The_Blimp,Rock music,1998,2007,0
the blockheads,http://dbpedia.org/resource/The_Blockheads,New wave,1977,0,3
the blood,http://dbpedia.org/resource/The_Blood,Punk rock,1982,0,0
the bloomfields,http://dbpedia.org/resource/The_Bloomfields,Glam rock|Rock music,1970,1970,1
the blue nile,http://dbpedia.org/resource/The_Blue_Nile,Art rock,1981,0,3
the bluetones,http://dbpedia.org/resource/The_Bluetones,Indie rock|Indietronica,1993,1993,2
the bodines,http://dbpedia.org/resource/The_Bodines,Rock music,1985,1990,0
the bohicas,http://dbpedia.org/resource/The_Bohicas,Indie rock|Indietronica|Post-punk|Rock music,2013,0,0
the boo radleys,http://dbpedia.org/resource/The_Boo_Radleys,Alternative rock,1988,1999,0
the bootleg beatles,http://dbpedia.org/resource/The_Bootleg_Beatles,Rock music,1980,0,0
the border surrender,http://dbpedia.org/resource/The_Border_Surrender,Blues rock|Rock music,2009,2011,0
the boyfriends,http://dbpedia.org/resource/The_Boyfriends_(UK_band),Indie rock|Indietronica,2003,2006,0
the boys,http://dbpedia.org/resource/The_Boys_(English_band),Power pop|Punk rock,1976,1982,8
the breeders,http://dbpedia.org/resource/The_Breeders,Alternative rock,1989,1995,34
the brightlights,http://dbpedia.org/resource/The_Brightlights,Indie rock|Indietronica,2005,2005,0
the candyskins,http://dbpedia.org/resource/The_Candyskins,Power pop,1989,1998,0
the cannibals,http://dbpedia.org/resource/The_Cannibals_(British_band),Garage rock|Punk rock,1976,1976,0
the cape race,http://dbpedia.org/resource/The_Cape_Race,Alternative rock|Rock music,2009,0,0
the capes,http://dbpedia.org/resource/The_Capes,Indie rock|Indietronica,2002,2008,0
the carpettes,http://dbpedia.org/resource/The_Carpettes,Punk rock,1977,1981,0
the cateran,http://dbpedia.org/resource/The_Cateran,Alternative rock,1991,1991,0
the cesarians,http://dbpedia.org/resource/The_Cesarians,Art rock,2007,0,0
the chameleons,http://dbpedia.org/resource/The_Chameleons,Post-punk,1981,1987,3
the chapman family,http://dbpedia.org/resource/The_Chapman_Family,Post-punk,2006,2013,0
the charlatans,http://dbpedia.org/resource/The_Charlatans_(UK_band),Alternative rock|Indie rock|Indietronica,1989,1989,4
the chavs,http://dbpedia.org/resource/The_Chavs,Indie rock|Indietronica,2004,2004,0
the chevin,http://dbpedia.org/resource/The_Chevin_(band),Alternative rock,2010,0,0
the cinematics,http://dbpedia.org/resource/The_Cinematics,Alternative rock|Indie rock|Indietronica,2003,2011,1
the claim,http://dbpedia.org/resource/The_Claim_(band),Indie rock|Indietronica,1985,1992,0
the colourfield,http://dbpedia.org/resource/The_Colourfield,New wave|Pop rock,1984,1987,0
the coral,http://dbpedia.org/resource/The_Coral,Indie rock|Indietronica,1996,0,5
the count bishops,http://dbpedia.org/resource/The_Count_Bishops,Indie rock|Indietronica|Rock music,1975,1980,0
the creation,http://dbpedia.org/resource/The_Creation_(band),Garage rock|Psychedelic rock,1966,1966,0
the creepers,http://dbpedia.org/resource/The_Creepers,Post-punk,1982,1988,2
the crescent,http://dbpedia.org/resource/The_Crescent_(band),Alternative rock,2000,2003,0
the cribs,http://dbpedia.org/resource/The_Cribs,Alternative rock|Garage rock|Indie rock|Indietronica|Power pop|Punk rock,2002,0,5
the crocketts,http://dbpedia.org/resource/The_Crocketts,Indie rock|Indietronica,1996,2002,1
the crookes,http://dbpedia.org/resource/The_Crookes,Alternative rock|Indie rock|Indietronica,2008,0,1
the cult,http://dbpedia.org/resource/The_Cult,Hard rock|Heavy metal|Post-punk,1999,2002,15
the cult maniax,http://dbpedia.org/resource/Cult_Maniax,Psychedelic rock|Punk rock,1978,1978,0
the cureheads,http://dbpedia.org/resource/The_Cureheads,New wave|Post-punk,1990,0,0
the dallas guild,http://dbpedia.org/resource/The_Dallas_Guild,Alternative rock|Post-rock,2004,2004,0
the damned,http://dbpedia.org/resource/The_Damned_(band),New wave|Post-punk|Punk rock,1976,0,14
the danse society,http://dbpedia.org/resource/The_Danse_Society,New wave|Post-punk,1980,0,0
the darkness,http://dbpedia.org/resource/The_Darkness_(band),Hard rock,2011,0,1
the darling buds,http://dbpedia.org/resource/The_Darling_Buds,Alternative rock,1986,1986,2
the dave clark five,http://dbpedia.org/resource/The_Dave_Clark_Five,Beat|Pop rock,1958,1970,12
the daydream club,http://dbpedia.org/resource/The_Daydream_Club,Folk rock,2010,0,0
the declining winter,http://dbpedia.org/resource/The_Declining_Winter,Post-rock,2007,2007,0
the defects,http://dbpedia.org/resource/The_Defects,Punk rock,1979,1984,0
the dentists,http://dbpedia.org/resource/The_Dentists,Indie rock|Indietronica,1984,1984,1
the derelicts,http://dbpedia.org/resource/The_Derelicts,Punk rock,1974,1976,0
the devlins,http://dbpedia.org/resource/The_Devlins,Indie rock|Indietronica,1993,0,2
the display team,http://dbpedia.org/resource/The_Display_Team,Progressive rock|Punk rock,2000,0,0
the distractions,http://dbpedia.org/resource/The_Distractions,New wave|Punk rock,1975,1981,1
the dogs d'amour,http://dbpedia.org/resource/The_Dogs_D'Amour,Blues rock|Glam rock|Hard rock,1983,1991,0
the doll,http://dbpedia.org/resource/The_Doll_(band),New wave|Punk rock,1977,1977,0
the domino state,http://dbpedia.org/resource/The_Domino_State,Alternative rock|Indie rock|Indietronica,2007,2007,0
the donde stars,http://dbpedia.org/resource/The_Donde_Stars,Rock music,2003,0,0
the donkeys,http://dbpedia.org/resource/The_Donkeys_(British_band),Power pop,1978,1982,0
the drones,http://dbpedia.org/resource/The_Drones_(English_band),Punk rock,1975,1982,9
the duke spirit,http://dbpedia.org/resource/The_Duke_Spirit,Alternative rock|Garage rock|Indie rock|Indietronica,2003,0,0
the durutti column,http://dbpedia.org/resource/The_Durutti_Column,Art rock|Post-punk|Post-rock,1978,0,3
the dykeenies,http://dbpedia.org/resource/The_Dykeenies,Indie rock|Indietronica,2005,2012,0
the dylans,http://dbpedia.org/resource/The_Dylans,Alternative rock,1991,1994,0
the earlies,http://dbpedia.org/resource/The_Earlies,Progressive rock|Rock music,2004,2008,0
the ejected,http://dbpedia.org/resource/The_Ejected,Alternative rock|Heavy metal|Indie rock|Indietronica|Punk rock,1981,1983,0
the enemy,http://dbpedia.org/resource/The_Enemy_(UK_punk_band),Punk rock,1980,1984,6
the enemy,http://dbpedia.org/resource/The_Enemy_(UK_rock_band),Alternative rock|Indie rock|Indietronica|Punk rock,2006,2016,6
the equals,http://dbpedia.org/resource/The_Equals,Rock music,1965,1979,5
the europeans,http://dbpedia.org/resource/The_Europeans_(band),New wave,1981,1985,0
the evangelists,http://dbpedia.org/resource/The_Evangelists_(band),Experimental rock|Punk rock,2000,0,0
the expelled,http://dbpedia.org/resource/The_Expelled,Punk rock,1981,1981,0
the exploited,http://dbpedia.org/resource/The_Exploited,Punk rock,1979,0,0
the faders,http://dbpedia.org/resource/The_Faders,Pop rock,2004,2006,0
the fades,http://dbpedia.org/resource/The_Fades,Indie rock|Indietronica,2002,2002,0
the fairies,http://dbpedia.org/resource/Fairies_(British_band),Beat,1963,1966,0
the fall,http://dbpedia.org/resource/The_Fall_(band),Alternative rock|Post-punk,1976,0,0
the fallen leaves,http://dbpedia.org/resource/The_Fallen_Leaves,Beat|Garage rock|Psychedelic rock|Rock music,2004,0,0
the family cat,http://dbpedia.org/resource/The_Family_Cat,Indie rock|Indietronica,1988,1988,0
the family rain,http://dbpedia.org/resource/The_Family_Rain,Alternative rock|Blues rock|Indie rock|Indietronica,2011,0,0
the favours,http://dbpedia.org/resource/The_Favours,Alternative rock|Rock music,2002,2002,0
the featherz,http://dbpedia.org/resource/The_Featherz,Punk rock,2011,0,0
the feeling,http://dbpedia.org/resource/The_Feeling,Alternative rock|Power pop|Soft rock,1995,0,2
the field mice,http://dbpedia.org/resource/The_Field_Mice,Indie rock|Indietronica,1987,1987,0
the fire engines,http://dbpedia.org/resource/The_Fire_Engines,Post-punk,1979,1981,0
the fixx,http://dbpedia.org/resource/The_Fixx,New wave|Rock music,1979,0,8
the fleur de lys,http://dbpedia.org/resource/The_Fleur_de_Lys,Psychedelic rock,1964,1964,1
the flying padovanis,http://dbpedia.org/resource/The_Flying_Padovanis,Post-punk|Punk rock,1980,1980,0
the fog band,http://dbpedia.org/resource/The_Fog_Band,Garage rock,2000,2006,0
the formative years,http://dbpedia.org/resource/The_Formative_Years,Rock music,2006,2006,0
the foxes,http://dbpedia.org/resource/The_Foxes,Indie rock|Indietronica,2006,0,2
the fratellis,http://dbpedia.org/resource/The_Fratellis,Alternative rock|Indie rock|Indietronica,2005,0,4
the fuse,http://dbpedia.org/resource/The_Fuse_(Scottish_band),Indie rock|Indietronica,1998,1998,0
the fut,http://dbpedia.org/resource/The_Fut,Psychedelic rock|Roots rock|Soft rock,1969,1969,0
the futureheads,http://dbpedia.org/resource/The_Futureheads,Indie rock|Indietronica,2000,2013,10
the ga ga's,http://dbpedia.org/resource/The_Ga_Ga's,Alternative rock|Hard rock,2002,2006,0
the glitterati,http://dbpedia.org/resource/The_Glitterati,Hard rock,2003,2011,0
the go! team,http://dbpedia.org/resource/The_Go!_Team,Indie rock|Indietronica,2000,0,0
the godfathers,http://dbpedia.org/resource/The_Godfathers,Alternative rock|New wave,1985,1985,4
the golden dawn,http://dbpedia.org/resource/The_Golden_Dawn_(Scottish_band),Indie rock|Indietronica,1986,0,3
the gorillas,http://dbpedia.org/resource/The_Gorillas,Hard rock|Punk rock,1974,1980,0
the guns,http://dbpedia.org/resource/The_Guns_(band),Rock music,2005,0,0
the gyres,http://dbpedia.org/resource/The_Gyres,Indie rock|Indietronica,1994,0,0
the heartbreaks,http://dbpedia.org/resource/The_Heartbreaks,Indie rock|Indietronica,2009,0,0
the heavy,http://dbpedia.org/resource/The_Heavy_(band),Blues rock|Funk rock|Indie rock|Indietronica,2007,0,0
the hedrons,http://dbpedia.org/resource/The_Hedrons,Punk rock,2005,2005,0
the high,http://dbpedia.org/resource/The_High,Alternative rock,1989,1993,4
the high fidelity,http://dbpedia.org/resource/The_High_Fidelity,Alternative rock,1995,2001,0
the high society,http://dbpedia.org/resource/The_High_Society,Glam rock|Hard rock|Punk rock,2006,2006,1
the hollies,http://dbpedia.org/resource/The_Hollies,Rock music,1962,0,26
the hollywood brats,http://dbpedia.org/resource/Hollywood_Brats,Glam rock|Power pop,1971,1975,0
the homosexuals,http://dbpedia.org/resource/The_Homosexuals,Post-punk|Punk rock,1978,0,0
the honeycombs,http://dbpedia.org/resource/The_Honeycombs,Beat,1963,1963,0
the hoosiers,http://dbpedia.org/resource/The_Hoosiers,Alternative rock|Indie rock|Indietronica|Pop rock,2003,0,0
the horrors,http://dbpedia.org/resource/The_Horrors,Garage rock|Indie rock|Indietronica,2005,0,0
the hotrats,http://dbpedia.org/resource/The_Hotrats,Alternative rock,2009,2011,0
the housemartins,http://dbpedia.org/resource/The_Housemartins,Alternative rock|Indie rock|Indietronica,1983,1988,4
the hullaballoos,http://dbpedia.org/resource/The_Hullaballoos,Beat,1965,1966,0
the human league,http://dbpedia.org/resource/The_Human_League,New wave,1977,0,45
the id,http://dbpedia.org/resource/The_Id_(band),New wave|Post-punk,1977,1978,1
the idle race,http://dbpedia.org/resource/The_Idle_Race,Psychedelic rock,1959,1972,0
the invisible girls,http://dbpedia.org/resource/The_Invisible_Girls,Post-punk,1978,1982,0
the irish rovers,http://dbpedia.org/resource/The_Irish_Rovers,Folk rock,1963,0,9
the jags,http://dbpedia.org/resource/The_Jags,New wave|Power pop|Rock music,1978,1982,0
the jam,http://dbpedia.org/resource/The_Jam,New wave|Punk rock,1972,1982,72
the jane bradfords,http://dbpedia.org/resource/The_Jane_Bradfords,Indie rock|Indietronica,2006,0,0
the janitors,http://dbpedia.org/resource/The_Janitors,Alternative rock|Noise rock,1984,1984,0
the jcq,http://dbpedia.org/resource/The_JCQ,Experimental rock|Punk rock,2006,2014,0
the jennifers,http://dbpedia.org/resource/The_Jennifers,Alternative rock,1991,1991,2
the jetset,http://dbpedia.org/resource/The_Jetset,Power pop|Rock music,1979,1988,4
the karelia,http://dbpedia.org/resource/The_Karelia,Rock music,1996,1996,7
the kbc,http://dbpedia.org/resource/The_KBC,Indie rock|Indietronica,2004,0,0
the killjoys,http://dbpedia.org/resource/The_Killjoys_(UK_band),Punk rock,1976,1978,0
the knack,http://dbpedia.org/resource/The_Knack_(UK_band),Folk rock|Garage rock|Psychedelic rock|Rock music,1964,1968,12
the koreans,http://dbpedia.org/resource/The_Koreans_(band),Indie rock|Indietronica,1998,2004,0
the kybosh,http://dbpedia.org/resource/The_Kybosh,Indie rock|Indietronica,2007,2007,0
the kynd,http://dbpedia.org/resource/The_Kynd,Indie rock|Indietronica,1991,1991,0
the lafontaines,http://dbpedia.org/resource/The_LaFontaines,Rap rock|Rapcore,2010,0,0
the lancastrians,http://dbpedia.org/resource/The_Lancastrians,Rock music,1963,1967,0
the law,http://dbpedia.org/resource/The_Law_(Scottish_band),Indie rock|Indietronica,1997,1997,8
the lea shores,http://dbpedia.org/resource/The_Lea_Shores,Alternative rock,2005,2005,0
the leisure society,http://dbpedia.org/resource/The_Leisure_Society,Rock music,2009,0,0
the libertines,http://dbpedia.org/resource/The_Libertines,Garage rock|Indie rock|Indietronica,1997,1997,24
the lightyears,http://dbpedia.org/resource/The_Lightyears,Pop rock|Power pop|Progressive rock|Rock music,2003,0,0
the lilac time,http://dbpedia.org/resource/The_Lilac_Time,Alternative rock|Folk rock,1986,0,4
the lines,http://dbpedia.org/resource/The_Lines,Indie rock|Indietronica,2005,2013,8
the long blondes,http://dbpedia.org/resource/The_Long_Blondes,Indie rock|Indietronica,2004,2008,0
the longcut,http://dbpedia.org/resource/The_Longcut,Alternative rock|Indie rock|Indietronica,2002,2002,0
the look,http://dbpedia.org/resource/The_Look_(band),New wave,1979,1983,6
the loungs,http://dbpedia.org/resource/The_Loungs,Psychedelic rock,2003,0,0
the luka state,http://dbpedia.org/resource/The_Luka_State,Alternative rock,2013,2013,0
the lurkers,http://dbpedia.org/resource/The_Lurkers,New wave|Punk rock,1976,1979,1
the mabuses,http://dbpedia.org/resource/The_Mabuses,Alternative rock|Experimental rock,1990,0,0
the macc lads,http://dbpedia.org/resource/Macc_Lads,Hard rock|Punk rock,1981,1995,0
the maccabees,http://dbpedia.org/resource/The_Maccabees_(band),Indie rock|Indietronica|Progressive rock,2004,2016,3
the magic lanterns,http://dbpedia.org/resource/The_Magic_Lanterns,Rock music,1962,1971,0
the magic numbers,http://dbpedia.org/resource/The_Magic_Numbers,Indie rock|Indietronica|Pop rock,2002,0,3
the magnificents,http://dbpedia.org/resource/The_Magnificents_(Scottish_band),Art rock|Punk rock,2000,2000,0
the manfreds,http://dbpedia.org/resource/The_Manfreds,Beat,1991,0,1
the march violets,http://dbpedia.org/resource/The_March_Violets,Post-punk,1981,1987,0
the mekons,http://dbpedia.org/resource/The_Mekons,Alternative rock|Post-punk|Punk rock,1977,1977,49
the members,http://dbpedia.org/resource/The_Members,Punk rock,1976,1983,0
the metros,http://dbpedia.org/resource/The_Metros,Indie rock|Indietronica,2006,2009,0
the mindbenders,http://dbpedia.org/resource/The_Mindbenders,Beat,1963,1968,7
the mirage,http://dbpedia.org/resource/The_Mirage_(band),Psychedelic rock,1965,1968,0
the mission,http://dbpedia.org/resource/The_Mission_(band),Alternative rock|Hard rock|Post-punk,1986,1996,8
the mock turtles,http://dbpedia.org/resource/The_Mock_Turtles,Indie rock|Indietronica,1985,0,0
the models,http://dbpedia.org/resource/The_Models,Punk rock,1977,1977,0
the moment,http://dbpedia.org/resource/The_Moment_(band),Power pop,1983,1983,0
the monochrome set,http://dbpedia.org/resource/The_Monochrome_Set,New wave|Post-punk,1978,1985,0
the monsoon bassoon,http://dbpedia.org/resource/The_Monsoon_Bassoon,Psychedelic rock,1995,2001,0
the moody blues,http://dbpedia.org/resource/The_Moody_Blues,Art rock|Pop rock|Progressive rock|Psychedelic rock,1964,1964,49
the moors murderers,http://dbpedia.org/resource/The_Moors_Murderers,Punk rock,1977,1978,0
the motes,http://dbpedia.org/resource/The_Motes,Indie rock|Indietronica,1994,1998,0
the mothmen,http://dbpedia.org/resource/The_Mothmen,Indie rock|Indietronica|New wave|Post-punk|Punk rock,1979,1982,0
the moths!,http://dbpedia.org/resource/The_Moths!,Alternative rock|Indie rock|Indietronica,2006,2007,0
the motorettes,http://dbpedia.org/resource/The_Motorettes,Rock music,2006,2006,0
the move,http://dbpedia.org/resource/The_Move,Hard rock|Progressive rock|Psychedelic rock|Rock music,1965,1965,6
the music,http://dbpedia.org/resource/The_Music,Alternative rock|Indie rock|Indietronica,1999,2011,0
the new mastersounds,http://dbpedia.org/resource/The_New_Mastersounds,Jazz fusion|Jazz rock,1999,0,0
the new york fund,http://dbpedia.org/resource/The_New_York_Fund,Country rock|Indie rock|Indietronica,2004,2004,0
the nightingales,http://dbpedia.org/resource/The_Nightingales,Alternative rock|Post-punk,1979,1986,4
the nipple erectors,http://dbpedia.org/resource/The_Nips,Punk rock,1976,1981,0
the northwestern,http://dbpedia.org/resource/The_Northwestern_(band),Indie rock|Indietronica,2007,2012,7
the nosebleeds,http://dbpedia.org/resource/The_Nosebleeds,Punk rock,1976,1978,0
the novellos,http://dbpedia.org/resource/The_Novellos,Punk rock,2007,0,0
the only ones,http://dbpedia.org/resource/The_Only_Ones,Indie rock|Indietronica|New wave|Power pop|Punk rock,1976,1982,2
the onyx/onyx,http://dbpedia.org/resource/Onyx_(Cornish_band),Psychedelic rock,1965,1971,0
the operators,http://dbpedia.org/resource/The_Operators_(band),Indie rock|Indietronica|Rock music,2006,0,0
the orange circus,http://dbpedia.org/resource/The_Orange_Circus,Roots rock,2010,2010,0
the ordinary boys,http://dbpedia.org/resource/The_Ordinary_Boys,Indie rock|Indietronica|Punk rock,2002,2008,0
the other two,http://dbpedia.org/resource/The_Other_Two,Alternative rock,1990,2011,0
the outcast band,http://dbpedia.org/resource/The_Outcast_Band,Alternative rock,1991,1996,0
the outcasts,http://dbpedia.org/resource/The_Outcasts_(Belfast_band),Punk rock,1977,1977,0
the outer limits,http://dbpedia.org/resource/The_Outer_Limits_(band),Rock music,1967,1971,2
the outfield,http://dbpedia.org/resource/The_Outfield,New wave|Pop rock|Power pop,1984,2014,0
the paddingtons,http://dbpedia.org/resource/The_Paddingtons,Alternative rock|Indie rock|Indietronica,2002,2012,0
the parachute men,http://dbpedia.org/resource/The_Parachute_Men,Indie rock|Indietronica,1985,1990,0
the partisans,http://dbpedia.org/resource/The_Partisans_(band),Punk rock,1978,1984,2
the passions,http://dbpedia.org/resource/The_Passions_(UK_band),Post-punk,1978,1983,7
the pastels,http://dbpedia.org/resource/The_Pastels,Alternative rock,1981,0,4
the perfect disaster,http://dbpedia.org/resource/The_Perfect_Disaster,Alternative rock,1980,1980,0
the phantom band,http://dbpedia.org/resource/The_Phantom_Band,Indie rock|Indietronica,2002,0,1
the photons,http://dbpedia.org/resource/The_Photons,New wave|Punk rock,1977,1978,0
the photos,http://dbpedia.org/resource/The_Photos,New wave,1977,1977,0
the pleasers,http://dbpedia.org/resource/The_Pleasers,Power pop,1977,0,0
the plight,http://dbpedia.org/resource/The_Plight,Rock music,2004,2011,1
the pogues,http://dbpedia.org/resource/The_Pogues,Folk rock,1982,1996,50
the prats,http://dbpedia.org/resource/The_Prats,Post-punk|Punk rock,1977,1977,1
the prefects,http://dbpedia.org/resource/The_Prefects,Punk rock,1977,1979,0
the primary 5,http://dbpedia.org/resource/The_Primary_5,Alternative rock|Power pop,2003,2010,0
the primevals,http://dbpedia.org/resource/The_Primevals_(band),Garage rock,1983,1988,1
the primitives,http://dbpedia.org/resource/The_Primitives,Power pop,1984,1984,4
the priscillas,http://dbpedia.org/resource/The_Priscillas,Power pop,2003,2003,0
the prisoners,http://dbpedia.org/resource/The_Prisoners,Garage rock,1980,1980,0
the proclaimers,http://dbpedia.org/resource/The_Proclaimers,Country rock|Folk rock,1983,0,4
the prodigy,http://dbpedia.org/resource/The_Prodigy,Alternative rock,1990,0,90
the professionals,http://dbpedia.org/resource/The_Professionals_(band),Post-punk|Power pop|Punk rock,1979,1982,0
the psychedelic furs,http://dbpedia.org/resource/The_Psychedelic_Furs,Alternative rock|New wave|Post-punk,1977,1977,27
the quads,http://dbpedia.org/resource/The_Quads,New wave|Post-punk,1979,1982,1
the queers,http://dbpedia.org/resource/The_Queers,Punk rock,1981,1984,4
the questions,http://dbpedia.org/resource/The_Questions,Rock music,1977,1984,1
the quireboys,http://dbpedia.org/resource/The_Quireboys,Blues rock|Hard rock,1984,1984,0
