genre,date,count
Experimental rock,1984,0.0
Experimental rock,1985,0.0
Experimental rock,1986,0.58
Experimental rock,1987,0.61
Experimental rock,1988,0.51
Experimental rock,1989,0.78
Experimental rock,1990,0.0
Experimental rock,1991,0.0
Experimental rock,1992,0.6
Experimental rock,1993,0.78
Experimental rock,1994,1.18
Experimental rock,1995,1.94
Experimental rock,1996,2.23
Experimental rock,1997,3.48
Experimental rock,1998,3.01
Experimental rock,1999,1.16
Experimental rock,2000,3.89
Experimental rock,2001,5.77
Experimental rock,2002,3.32
Experimental rock,2003,4.54
Experimental rock,2004,3.79
Experimental rock,2005,2.7
Experimental rock,2006,2.74
Experimental rock,2007,3.26
Experimental rock,2008,5.47
Experimental rock,2009,3.79
Experimental rock,2010,2.9
Experimental rock,2011,4.67
Experimental rock,2012,4.49
Experimental rock,2013,3.07
Experimental rock,2014,2.8
Experimental rock,2015,3.03
Experimental rock,2016,3.07
Experimental rock,2017,2.89
Experimental rock,2018,4.09
Experimental rock,2019,2.67
Experimental rock,2020,5.22
Folk rock,1954,0.0
Folk rock,1955,0.0
Folk rock,1956,0.0
Folk rock,1957,0.0
Folk rock,1958,0.0
Folk rock,1959,0.0
Folk rock,1960,0.0
Folk rock,1961,0.0
Folk rock,1962,0.0
Folk rock,1963,0.0
Folk rock,1964,0.0
Folk rock,1965,0.0
Folk rock,1966,0.0
Folk rock,1967,0.0
Folk rock,1968,0.0
Folk rock,1969,8.82
Folk rock,1970,10.57
Folk rock,1971,2.97
Folk rock,1972,5.59
Folk rock,1973,4.96
Folk rock,1974,10.53
Folk rock,1975,8.56
Folk rock,1976,5.43
Folk rock,1977,9.13
Folk rock,1978,6.52
Folk rock,1979,5.13
Folk rock,1980,0.0
Folk rock,1981,4.58
Folk rock,1982,6.11
Folk rock,1983,6.35
Folk rock,1984,3.63
Folk rock,1985,4.17
Folk rock,1986,4.07
Folk rock,1987,6.33
Folk rock,1988,6.87
Folk rock,1989,5.21
Folk rock,1990,6.42
Folk rock,1991,4.78
Folk rock,1992,6.36
Folk rock,1993,7.18
Folk rock,1994,6.4
Folk rock,1995,5.35
Folk rock,1996,6.16
Folk rock,1997,4.43
Folk rock,1998,5.71
Folk rock,1999,4.83
Folk rock,2000,4.25
Folk rock,2001,4.12
Folk rock,2002,4.33
Folk rock,2003,4.75
Folk rock,2004,4.64
Folk rock,2005,2.97
Folk rock,2006,5.31
Folk rock,2007,4.41
Folk rock,2008,3.25
Folk rock,2009,4.87
Folk rock,2010,4.97
Folk rock,2011,6.37
Folk rock,2012,6.03
Folk rock,2013,8.89
Folk rock,2014,7.12
Folk rock,2015,6.77
Folk rock,2016,5.04
Folk rock,2017,2.89
Folk rock,2018,5.85
Folk rock,2019,4.67
Folk rock,2020,6.96
Funk rock,1954,0.0
Funk rock,1955,0.0
Funk rock,1956,0.0
Funk rock,1957,0.0
Funk rock,1958,0.0
Funk rock,1959,0.0
Funk rock,1960,0.0
Funk rock,1961,0.0
Funk rock,1962,0.0
Funk rock,1963,0.0
Funk rock,1964,0.0
Funk rock,1965,0.0
Funk rock,1966,0.0
Funk rock,1967,0.0
Funk rock,1968,0.0
Funk rock,1969,0.0
Funk rock,1970,0.81
Funk rock,1971,0.99
Funk rock,1972,0.0
Funk rock,1973,0.0
Funk rock,1974,0.0
Funk rock,1975,0.0
Funk rock,1976,0.0
Funk rock,1977,0.0
Funk rock,1978,0.0
Funk rock,1979,0.0
Funk rock,1980,0.0
Funk rock,1981,0.96
Funk rock,1982,0.87
Funk rock,1983,0.67
Funk rock,1984,0.4
Funk rock,1985,0.0
Funk rock,1986,0.0
Funk rock,1987,0.41
Funk rock,1988,0.25
Funk rock,1989,0.26
Funk rock,1990,0.0
Funk rock,1991,0.18
Funk rock,1992,0.0
Funk rock,1993,0.0
Funk rock,1994,0.0
Funk rock,1995,0.0
Funk rock,1996,0.51
Funk rock,1997,0.0
Funk rock,1998,0.15
Funk rock,1999,0.0
Funk rock,2000,0.0
Funk rock,2001,0.27
Funk rock,2002,0.43
Funk rock,2003,0.42
Funk rock,2004,0.0
Funk rock,2005,0.67
Funk rock,2006,0.48
Funk rock,2007,0.19
Funk rock,2008,0.15
Funk rock,2009,0.27
Funk rock,2010,0.28
Funk rock,2011,0.0
Funk rock,2012,0.13
Funk rock,2013,0.0
Funk rock,2014,0.0
Funk rock,2015,0.3
Funk rock,2016,0.25
Funk rock,2017,0.41
Funk rock,2018,0.0
Funk rock,2019,0.0
Funk rock,2020,0.0
Garage rock,1954,0.0
Garage rock,1955,0.0
Garage rock,1956,0.0
Garage rock,1957,0.0
Garage rock,1958,0.0
Garage rock,1959,0.0
Garage rock,1960,0.0
Garage rock,1961,0.0
Garage rock,1962,0.0
Garage rock,1963,0.0
Garage rock,1964,0.0
Garage rock,1965,0.0
Garage rock,1966,0.0
Garage rock,1967,0.0
Garage rock,1968,0.0
Garage rock,1969,0.0
Garage rock,1970,0.0
Garage rock,1971,0.0
Garage rock,1972,0.0
Garage rock,1973,0.0
Garage rock,1974,0.0
Garage rock,1975,0.53
Garage rock,1976,0.0
Garage rock,1977,0.0
Garage rock,1978,0.54
Garage rock,1979,1.28
Garage rock,1980,0.0
Garage rock,1981,0.72
Garage rock,1982,0.87
Garage rock,1983,0.0
Garage rock,1984,0.0
Garage rock,1985,0.35
Garage rock,1986,0.29
Garage rock,1987,0.2
Garage rock,1988,0.0
Garage rock,1989,0.52
Garage rock,1990,0.22
Garage rock,1991,0.0
Garage rock,1992,0.0
Garage rock,1993,0.0
Garage rock,1994,0.51
Garage rock,1995,0.49
Garage rock,1996,0.0
Garage rock,1997,0.16
Garage rock,1998,0.9
Garage rock,1999,0.17
Garage rock,2000,0.35
Garage rock,2001,0.41
Garage rock,2002,0.14
Garage rock,2003,1.16
Garage rock,2004,0.49
Garage rock,2005,1.35
Garage rock,2006,0.64
Garage rock,2007,1.72
Garage rock,2008,0.44
Garage rock,2009,0.27
Garage rock,2010,0.55
Garage rock,2011,0.71
Garage rock,2012,1.28
Garage rock,2013,1.21
Garage rock,2014,1.02
Garage rock,2015,0.4
Garage rock,2016,0.49
Garage rock,2017,0.41
Garage rock,2018,1.17
Garage rock,2019,0.67
Garage rock,2020,0.0
Glam rock,1954,0.0
Glam rock,1955,0.0
Glam rock,1956,0.0
Glam rock,1957,0.0
Glam rock,1958,0.0
Glam rock,1959,0.0
Glam rock,1960,0.0
Glam rock,1961,0.0
Glam rock,1962,0.0
Glam rock,1963,0.0
Glam rock,1964,0.0
Glam rock,1965,0.0
Glam rock,1966,0.0
Glam rock,1967,0.0
Glam rock,1968,0.0
Glam rock,1969,0.0
Glam rock,1970,0.0
Glam rock,1971,1.98
Glam rock,1972,4.2
Glam rock,1973,0.0
Glam rock,1974,3.51
Glam rock,1975,2.14
Glam rock,1976,0.0
Glam rock,1977,0.91
Glam rock,1978,0.54
Glam rock,1979,1.28
Glam rock,1980,4.55
Glam rock,1981,0.24
Glam rock,1982,0.66
Glam rock,1983,0.33
Glam rock,1984,0.81
Glam rock,1985,1.74
Glam rock,1986,0.58
Glam rock,1987,0.82
Glam rock,1988,1.78
Glam rock,1989,1.3
Glam rock,1990,0.88
Glam rock,1991,0.74
Glam rock,1992,0.4
Glam rock,1993,0.97
Glam rock,1994,0.84
Glam rock,1995,1.13
Glam rock,1996,1.54
Glam rock,1997,0.47
Glam rock,1998,1.05
Glam rock,1999,1.0
Glam rock,2000,1.06
Glam rock,2001,1.37
Glam rock,2002,0.72
Glam rock,2003,0.84
Glam rock,2004,0.73
Glam rock,2005,1.08
Glam rock,2006,0.64
Glam rock,2007,0.38
Glam rock,2008,0.59
Glam rock,2009,0.95
Glam rock,2010,0.55
Glam rock,2011,0.57
Glam rock,2012,0.39
Glam rock,2013,1.32
Glam rock,2014,0.89
Glam rock,2015,0.3
Glam rock,2016,0.61
Glam rock,2017,1.24
Glam rock,2018,1.17
Glam rock,2019,2.0
Glam rock,2020,1.74
Hard rock,1954,0.0
Hard rock,1955,0.0
Hard rock,1956,0.0
Hard rock,1957,0.0
Hard rock,1958,0.0
Hard rock,1959,0.0
Hard rock,1960,0.0
Hard rock,1961,0.0
Hard rock,1962,0.0
Hard rock,1963,0.0
Hard rock,1964,0.0
Hard rock,1965,0.0
Hard rock,1966,0.0
Hard rock,1967,0.0
Hard rock,1968,0.0
Hard rock,1969,11.76
Hard rock,1970,9.76
Hard rock,1971,9.9
Hard rock,1972,6.29
Hard rock,1973,9.93
Hard rock,1974,10.53
Hard rock,1975,12.3
Hard rock,1976,7.61
Hard rock,1977,9.13
Hard rock,1978,3.8
Hard rock,1979,5.56
Hard rock,1980,0.0
Hard rock,1981,2.65
Hard rock,1982,5.46
Hard rock,1983,5.35
Hard rock,1984,2.82
Hard rock,1985,6.25
Hard rock,1986,3.78
Hard rock,1987,4.69
Hard rock,1988,6.11
Hard rock,1989,7.55
Hard rock,1990,5.97
Hard rock,1991,7.54
Hard rock,1992,7.16
Hard rock,1993,7.18
Hard rock,1994,7.07
Hard rock,1995,6.97
Hard rock,1996,6.51
Hard rock,1997,4.59
Hard rock,1998,5.41
Hard rock,1999,7.82
Hard rock,2000,6.9
Hard rock,2001,5.36
Hard rock,2002,5.63
