band,link,genres,start_year,end_year
admiral radley,http://dbpedia.org/resource/Admiral_Radley,Indie rock|Indietronica,2009,0
adolescents,http://dbpedia.org/resource/Adolescents_(band),Punk rock,1980,0
adrenalin od,http://dbpedia.org/resource/Adrenalin_O.D.,Punk rock,1981,1981
adventures,http://dbpedia.org/resource/Adventures_(band),Alternative rock|Indie rock|Indietronica,2012,0
after edmund,http://dbpedia.org/resource/After_Edmund,Art rock,2001,2001
air dubai,http://dbpedia.org/resource/Air_Dubai,Alternative rock,2008,0
ajj,http://dbpedia.org/resource/AJJ_(band),Art rock|Indie rock|Indietronica|Punk rock,2004,2004
alabama thunderpussy,http://dbpedia.org/resource/Alabama_Thunderpussy,Heavy metal,1996,2008
alcatrazz,http://dbpedia.org/resource/Alcatrazz,Hard rock|Heavy metal,1983,1987
alex blanc,http://dbpedia.org/resource/Alex_Blanc,Dance-rock|Experimental rock|New wave|Pop rock|Post-punk,1980,1985
algernon cadwallader,http://dbpedia.org/resource/Algernon_Cadwallader,Punk rock,2005,2012
ali baba's tahini,http://dbpedia.org/resource/Ali_Baba's_Tahini,Hard rock,1997,1997
alialujah choir,http://dbpedia.org/resource/Alialujah_Choir,Alternative rock|Art rock|Folk rock|Indie rock|Indietronica|Progressive rock,2012,0
alice in chains,http://dbpedia.org/resource/Alice_in_Chains,Heavy metal,1987,1987
alien ant farm,http://dbpedia.org/resource/Alien_Ant_Farm,Alternative rock|Punk rock,1996,0
alkaline trio,http://dbpedia.org/resource/Alkaline_Trio,Alternative rock|Punk rock,1996,0
all city affairs,http://dbpedia.org/resource/All_City_Affairs,Indie rock|Indietronica,2003,0
all the day holiday,http://dbpedia.org/resource/All_the_Day_Holiday,Alternative rock|Indie rock|Indietronica,2007,2010
allah-las,http://dbpedia.org/resource/Allah-Las,Garage rock|Psychedelic rock,2008,0
allen collins band,http://dbpedia.org/resource/Allen_Collins_Band,Hard rock|Southern rock,1983,1983
aloud,http://dbpedia.org/resource/Aloud,Indie rock|Indietronica|Rock music,2002,0
ambrosia,http://dbpedia.org/resource/Ambrosia_(band),Progressive rock|Soft rock,1970,1982
amen dunes,http://dbpedia.org/resource/Amen_Dunes,Experimental rock|Indie rock|Indietronica|Psychedelic rock,2006,0
american authors,http://dbpedia.org/resource/American_Authors,Alternative rock|Folk rock|Indie rock|Indietronica|Pop rock,2006,0
american babies,http://dbpedia.org/resource/American_Babies,Indie rock|Indietronica|Progressive rock,2007,2007
american bang,http://dbpedia.org/resource/American_Bang,Rock music,2005,2011
american football,http://dbpedia.org/resource/American_Football_(band),Indie rock|Indietronica,1997,1997
amity lane,http://dbpedia.org/resource/Amity_Lane,Alternative rock,2005,2007
amps for christ,http://dbpedia.org/resource/Amps_for_Christ,Experimental rock,1995,1995
analog rebellion,http://dbpedia.org/resource/Analog_Rebellion,Indie rock|Indietronica,2005,0
anastasia screamed,http://dbpedia.org/resource/Anastasia_Screamed,Alternative rock,1987,1992
ancient river,http://dbpedia.org/resource/Ancient_River,Psychedelic rock,2008,0
andeline,http://dbpedia.org/resource/Andeline,Alternative rock|Punk rock,2004,2004
angelfire,http://dbpedia.org/resource/Angelfire_(band),Folk rock|Jazz fusion|Jazz rock,2008,0
another single day,http://dbpedia.org/resource/Another_Single_Day,Alternative rock|Heavy metal|Pop rock|Rock music,2003,2007
antarctica,http://dbpedia.org/resource/Antarctica_(band),Experimental rock|Indie rock|Indietronica|Post-rock,1995,1999
apes & androids,http://dbpedia.org/resource/Apes_&_Androids,Glam rock,2008,2008
arc angels,http://dbpedia.org/resource/Arc_Angels,Southern rock,1990,1990
area code 615,http://dbpedia.org/resource/Area_Code_615_(band),Country rock,1969,1971
argyle park,http://dbpedia.org/resource/Argyle_Park,Hard rock|Industrial rock,1994,1996
armor for sleep,http://dbpedia.org/resource/Armor_for_Sleep,Indie rock|Indietronica,2001,0
armors,http://dbpedia.org/resource/Armors_(band),Alternative rock,2014,0
army of anyone,http://dbpedia.org/resource/Army_of_Anyone,Rock music,2005,2007
art for starters,http://dbpedia.org/resource/Art_for_Starters,Indie rock|Indietronica,2006,0
artifex pereo,http://dbpedia.org/resource/Artifex_Pereo,Alternative rock|Experimental rock|Hard rock|Progressive rock,2009,0
artist vs poet,http://dbpedia.org/resource/Artist_vs._Poet,Power pop,2007,0
as fast as,http://dbpedia.org/resource/As_Fast_As,Alternative rock|Power pop,2003,2003
as they sleep,http://dbpedia.org/resource/As_They_Sleep,Hard rock,2003,0
asg,http://dbpedia.org/resource/ASG_(band),Heavy metal,2001,0
ashburne glen,http://dbpedia.org/resource/Ashburne_Glen,Indie rock|Indietronica,2001,0
ashes remain,http://dbpedia.org/resource/Ashes_Remain,Alternative rock,2001,0
aska,http://dbpedia.org/resource/ASKA_(band),Heavy metal,1990,0
aspera,http://dbpedia.org/resource/Aspera_(band),Indie rock|Indietronica|Psychedelic rock,1996,2007
asphalt ballet,http://dbpedia.org/resource/Asphalt_Ballet,Blues rock|Hard rock|Southern rock,1988,1988
astrovamps,http://dbpedia.org/resource/Astrovamps,Heavy metal,1991,2007
atlanta rhythm section,http://dbpedia.org/resource/Atlanta_Rhythm_Section,Country rock|Pop rock|Soft rock|Southern rock,1971,0
attack cat,http://dbpedia.org/resource/Dave_Douglas_(drummer)__Attack_Cat__1,Indie rock|Indietronica|Rock music,2008,0
attaxe,http://dbpedia.org/resource/Attaxe,Heavy metal,1985,1994
auburn lull,http://dbpedia.org/resource/Auburn_Lull,Post-rock,1994,0
audacity,http://dbpedia.org/resource/Audacity_(band),Garage rock,2001,0
audioslave,http://dbpedia.org/resource/Audioslave,Alternative rock|Hard rock,2001,2007
audiovent,http://dbpedia.org/resource/Audiovent,Alternative rock|Hard rock,1993,2004
audra,http://dbpedia.org/resource/Audra,Alternative rock|New wave|Post-punk,1991,1991
augustana,http://dbpedia.org/resource/Augustana_(band),Indie rock|Indietronica|Rock music|Roots rock,2003,2011
authority zero,http://dbpedia.org/resource/Authority_Zero,Alternative rock|Punk rock|Reggae rock,1994,0
autopilot off,http://dbpedia.org/resource/Autopilot_Off,Punk rock,1996,2005
avoid one thing,http://dbpedia.org/resource/Avoid_One_Thing,Punk rock,2002,2005
awesome color,http://dbpedia.org/resource/Awesome_Color,Alternative rock,2004,2004
awolnation,http://dbpedia.org/resource/Awolnation,Alternative rock|Indie rock|Indietronica|Industrial rock,2009,0
